Company,Group,Change
Bajaj Steel Ind.,B,-0.57
Bharat Immunolog,B,-0.57
Orient Press Ltd,B,-0.57
Global Vectra Helico,B,-0.57
Sundrop Brands,B,-0.56
Kronox Lab Sciences,B,-0.54
Grauer & Weil,B,-0.54
Godavari Biorefineri,B,-0.54
Filatex India,B,-0.53
Shreeji Translogisti,B,-0.53
GP Petroleums,B,-0.51
Surana Telecom and P,B,-0.50
OneSource Specialty,B,-0.50
Pix Transmission,B,-0.50
Lumax Auto Technolog,B,-0.50
A-1 L,B,-0.49
Omaxe Ltd.,B,-0.48
Seamec Ltd.,B,-0.48
Kolte-Patil Develope,B,-0.48
Ramco Systems Lt,B,-0.48
Deep Polymers,B,-0.47
Bengal & Assam Compa,B,-0.46
SIS Ltd,B,-0.46
Raj Oil Mills Ltd.,B,-0.44
Sagar Cements,B,-0.44
Shree Pushkar Chemic,B,-0.43
Dolfin Rubbers,B,-0.42
Nova Agritech,B,-0.42
Modison L,B,-0.40
U Y Fincorp,B,-0.39
India Motor Part,B,-0.39
Jagran Prakashan,B,-0.38
Kross L,B,-0.37
Garuda Construction,B,-0.36
Karur Vysya Bank,B,-0.36
Raw Edge Industrial,B,-0.36
Munjal Auto Industr.,B,-0.35
Emcure Pharmaceutica,B,-0.35
Standard Indust,B,-0.35
Texmaco Infrastructu,B,-0.34
Jindal Poly Films,B,-0.34
PNB Gilts Ltd.,B,-0.34
Jindal Poly Investme,B,-0.33
Salzer Electr.,B,-0.33
UR Sugar Industries,B,-0.33
Gulshan Polyols Ltd.,B,-0.32
Asian Hotels (East),B,-0.32
Ducon Infratech,B,-0.32
Madras Fertilize,B,-0.31
GRP L,B,-0.30
SRG Housing Finance,B,-0.29
Agri-Tech (India),B,-0.28
Credo Brands Marketi,B,-0.28
Medicamen Biotec,B,-0.28
M K Proteins,B,-0.28
Inspirisys Solutions,B,-0.28
Lux Industries,B,-0.27
Entero Healthcare So,B,-0.26
Amrutanjan Health Ca,B,-0.26
Nucleus Software,B,-0.26
Akme Fintrade (India,B,-0.24
Vascon Engineers Ltd,B,-0.24
Max Estates,B,-0.24
Network People Servi,B,-0.23
Axita Cotton,B,-0.22
Alembic Ltd.,B,-0.22
Divgi Torqtransfer,B,-0.22
Shreyans Inds.,B,-0.22
Sandesh,B,-0.21
North Eastern Carry,B,-0.21
Genus Paper & Boards,B,-0.20
Shriram Pistons,B,-0.19
Talbros Auto.,B,-0.19
Venky's (India) Ltd.,B,-0.19
Greenply Industr,B,-0.19
Foods & Inns,B,-0.18
Radhika Jeweltech,B,-0.18
DIC India,B,-0.18
Ramky Infrastructure,B,-0.18
20 Microns Ltd.,B,-0.18
Eveready Industr,B,-0.17
Shivalik Bimetal,B,-0.17
M M Forgings Ltd.,B,-0.17
VST Tillers Tr,B,-0.17
Oriental Aromatics,B,-0.17
Unichem Labs,B,-0.16
Rajoo Engineers,B,-0.16
Avadh Sugar & Energy,B,-0.15
National Standard (I,B,-0.14
Concord Enviro Syste,B,-0.14
Ajax Engineering,B,-0.14
Optiemus Infracom,B,-0.13
Sarveshwar Foods,B,-0.13
TTK Healthcare Ltd.,B,-0.12
Banaras Beads Li,B,-0.12
Savita Oil Tech,B,-0.12
Music Broadcast,B,-0.11
Sanofi Consumer Heal,B,-0.10
Tips Films,B,-0.10
Arkade Developers,B,-0.10
Ruchi Infrastructure,B,-0.10
Bharat Gears,B,-0.09
KRN Heat Exchanger,B,-0.09
Donear Industrie,B,-0.09
Rane Holdings Ltd.,B,-0.09
Kirloskar Industries,B,-0.08
Black Box,B,-0.08
South West Pinnacle,B,-0.07
ITC Hotels,B,-0.07
Sanghi Industrie,B,-0.05
Ganesh Benzoplas,B,-0.05
Lovable Lingerie Ltd,B,-0.04
Megastar Foods,B,-0.04
Mangal Credit & Fin,B,-0.03
Emami Paper Mill,B,-0.01
PDS L,B,-0.01
