Company,Group,Change
CarTrade Tech,A,+   1.91
EIH Ltd.,A,+   1.91
Nippon Life AMC,A,+   1.89
Advanced Enzyme Tech,A,+   1.88
Hero MotoCorp,A,+   1.88
Vodafone Idea L,A,+   1.88
CG Power and Indust,A,+   1.88
Indian Oil Corp,A,+   1.85
Adani Enterprises,A,+   1.85
NHPC,A,+   1.83
Punj. NationlBak,A,+   1.82
Alkyl Amines Che,A,+   1.81
IFCI Ltd.,A,+   1.80
JK Lakshmi Cement L,A,+   1.80
Morepen Labs.Lt,A,+   1.78
FDC,A,+   1.77
CESC Ltd.,A,+   1.76
Jyoti CNC Automation,A,+   1.73
Adani Total Gas,A,+   1.73
Action Construction,A,+   1.73
Canara Bank,A,+   1.73
Balmer Lawrie &,A,+   1.73
GujaratStatePetronet,A,+   1.72
Senco Gold,A,+   1.70
ITD Cementation Indi,A,+   1.69
MphasiS Ltd.,A,+   1.68
Tata Power Co.,A,+   1.68
IndiaMART InterMESH,A,+   1.67
Kama Holdings Ltd.,A,+   1.67
Surya Roshni Ltd,A,+   1.67
Indraprastha Gas,A,+   1.66
CIE Automotive India,A,+   1.66
Prudent Corporate Ad,A,+   1.66
Choice Internati,A,+   1.65
Delhivery L,A,+   1.64
Shyam Metalics,A,+   1.64
J Kumar Infraproject,A,+   1.63
IndusInd Bank,A,+   1.62
Birlasoft,A,+   1.62
L&T Finance L,A,+   1.61
ITI,A,+   1.61
Solar Industries Ind,A,+   1.61
Power Grid Corpo,A,+   1.61
Syngene Internationa,A,+   1.60
Birla Corporation Lt,A,+   1.58
Patel Engg. Ltd.,A,+   1.57
Maha. Seamless,A,+   1.57
Castrol India,A,+   1.57
Man Infraconstructio,A,+   1.56
Strides Pharma Scien,A,+   1.56
Rajesh Exports L,A,+   1.55
Sunteck Realty Ltd.,A,+   1.54
AGI Greenpac,A,+   1.54
ISGEC Heavy Eng,A,+   1.54
Bombay Dyeing,A,+   1.54
Balaji Amines Li,A,+   1.53
Adani Green Energy,A,+   1.52
Godfrey Phillips Ind,A,+   1.52
Hemisphere Propertie,A,+   1.51
Ujjivan SmallFinance,A,+   1.50
Britannia Ind.,A,+   1.50
PetronetLNG,A,+   1.49
AWL Agri Business,A,+   1.48
Bajaj Electricals,A,+   1.47
Adani Power Ltd.,A,+   1.46
Orchid Pharma,A,+   1.46
Divi's Lab,A,+   1.46
Anant Raj Ltd.,A,+   1.45
Mangalore Refine,A,+   1.45
Cigniti Technologies,A,+   1.45
Latent View Analytic,A,+   1.44
Aarti Industries,A,+   1.44
Maruti Suzuki India,A,+   1.43
Capacit'e Infraproje,A,+   1.43
VST Industries,A,+   1.42
Finolex Cables,A,+   1.40
Gujarat Pipavav Port,A,+   1.40
Zydus Lifesciences,A,+   1.40
Dynamatic Techno,A,+   1.40
Bajaj Finserv,A,+   1.39
Titagarh Rail System,A,+   1.38
Embassy Developments,A,+   1.35
Aurionpro Solutions,A,+   1.35
Sandur M & I Ore,A,+   1.35
Triveni Eng.&Ind.Ltd,A,+   1.35
Union Bank of In,A,+   1.34
Anupam Rasayan India,A,+   1.34
Bombay Burmah,A,+   1.33
Arvind Ltd.,A,+   1.33
Hind. Oil Explor,A,+   1.32
Ramkrishna Forgings,A,+   1.31
Venus Pipes & Tubes,A,+   1.31
Phoenix Mills,A,+   1.30
Ratnamani Metals,A,+   1.30
Tata Investment,A,+   1.30
Grasim Inds.,A,+   1.30
NTPC,A,+   1.28
GHCL,A,+   1.28
GAIL (India),A,+   1.26
Ajanta Pharma Lt,A,+   1.26
Sonata Software,A,+   1.24
Esab India,A,+   1.24
Shriram Finance,A,+   1.24
Gateway Distriparks,A,+   1.23
LIC Housing Fi,A,+   1.22
Gujarat Narmada Vall,A,+   1.22
Piramal Enterprises,A,+   1.21
Chennai Petro.,A,+   1.20
Central Bank,A,+   1.20
Indus Towers,A,+   1.19
NMDC Steel,A,+   1.17
Hind. Copper,A,+   1.17
Sheela Foam,A,+   1.16
eClerx Services,A,+   1.16
Voltas Ltd.,A,+   1.15
Havells India,A,+   1.15
ONGC,A,+   1.15
Bharat Petroleum,A,+   1.14
V-Mart Retail,A,+   1.14
Granules India L,A,+   1.13
RateGain Travel Tech,A,+   1.12
Tata Consultancy,A,+   1.12
Jindal St & Pwr,A,+   1.12
Timken India,A,+   1.11
Apar Industries,A,+   1.11
IRCTC,A,+   1.11
Jai Balaji Industrie,A,+   1.10
Alok Industries Ltd.,A,+   1.09
Wipro,A,+   1.09
Engineers India,A,+   1.09
Indigo Paints,A,+   1.08
Amara Raja Ene & Mob,A,+   1.07
Atul Ltd.,A,+   1.07
Delta Corp Ltd.,A,+   1.06
JK Paper Ltd.,A,+   1.06
Coforge,A,+   1.05
IDFC First Bank,A,+   1.05
Dhani Services,A,+   1.05
GSFC,A,+   1.05
Hatsun Agro Prod,A,+   1.04
Max Financial Servic,A,+   1.01
PTC India,A,+   1.01
Bharat Heavy Ele,A,+   1.00
PI Industries,A,+   0.99
Bajaj HindusthanSuga,A,+   0.99
Sun Pharma.,A,+   0.98
LTIMindtree,A,+   0.98
Bharat Bijlee,A,+   0.97
Tata Teleservices (M,A,+   0.96
Elgi Equipments,A,+   0.95
Dabur India,A,+   0.95
Sun Pharma Advanced,A,+   0.94
Akzo Nobel India,A,+   0.93
Jai Corp Ltd.,A,+   0.93
Shree Cement,A,+   0.93
NAVA L,A,+   0.92
Inox India,A,+   0.92
Tata Motors,A,+   0.91
Reliance Ind.Inf,A,+   0.91
ICICI Lombard Gen.,A,+   0.90
Alivus Life Sciences,A,+   0.90
SBI,A,+   0.89
Cummins India Lt,A,+   0.86
Torrent  Pharmac,A,+   0.86
Tips Music,A,+   0.86
Redington L,A,+   0.85
